date;diaAño;dia;mes;año;trimestre;añoMes;añoTrim;diaSemana;diaSemText;findes;temporada
2018-01-01;1;1;1;2018;1;2018_1;2018_1;1;lunes;entreSemana;alta
2018-01-02;2;2;1;2018;1;2018_1;2018_1;2;martes;entreSemana;alta
2018-01-03;3;3;1;2018;1;2018_1;2018_1;3;miércoles;entreSemana;alta
2018-01-04;4;4;1;2018;1;2018_1;2018_1;4;jueves;entreSemana;alta
2018-01-05;5;5;1;2018;1;2018_1;2018_1;5;viernes;visperaFinde;alta
2018-01-06;6;6;1;2018;1;2018_1;2018_1;6;sábado;Finde;alta
2018-01-07;7;7;1;2018;1;2018_1;2018_1;7;domingo;Finde;alta
2018-01-08;8;8;1;2018;1;2018_1;2018_1;1;lunes;entreSemana;baja
2018-01-09;9;9;1;2018;1;2018_1;2018_1;2;martes;entreSemana;baja
2018-01-10;10;10;1;2018;1;2018_1;2018_1;3;miércoles;entreSemana;baja
2018-01-11;11;11;1;2018;1;2018_1;2018_1;4;jueves;entreSemana;baja
2018-01-12;12;12;1;2018;1;2018_1;2018_1;5;viernes;visperaFinde;baja
2018-01-13;13;13;1;2018;1;2018_1;2018_1;6;sábado;Finde;baja
2018-01-14;14;14;1;2018;1;2018_1;2018_1;7;domingo;Finde;baja
2018-01-15;15;15;1;2018;1;2018_1;2018_1;1;lunes;entreSemana;baja
2018-01-16;16;16;1;2018;1;2018_1;2018_1;2;martes;entreSemana;baja
2018-01-17;17;17;1;2018;1;2018_1;2018_1;3;miércoles;entreSemana;baja
2018-01-18;18;18;1;2018;1;2018_1;2018_1;4;jueves;entreSemana;baja
2018-01-19;19;19;1;2018;1;2018_1;2018_1;5;viernes;visperaFinde;baja
2018-01-20;20;20;1;2018;1;2018_1;2018_1;6;sábado;Finde;baja
2018-01-21;21;21;1;2018;1;2018_1;2018_1;7;domingo;Finde;baja
2018-01-22;22;22;1;2018;1;2018_1;2018_1;1;lunes;entreSemana;baja
2018-01-23;23;23;1;2018;1;2018_1;2018_1;2;martes;entreSemana;baja
2018-01-24;24;24;1;2018;1;2018_1;2018_1;3;miércoles;entreSemana;baja
2018-01-25;25;25;1;2018;1;2018_1;2018_1;4;jueves;entreSemana;baja
2018-01-26;26;26;1;2018;1;2018_1;2018_1;5;viernes;visperaFinde;baja
2018-01-27;27;27;1;2018;1;2018_1;2018_1;6;sábado;Finde;baja
2018-01-28;28;28;1;2018;1;2018_1;2018_1;7;domingo;Finde;baja
2018-01-29;29;29;1;2018;1;2018_1;2018_1;1;lunes;entreSemana;baja
2018-01-30;30;30;1;2018;1;2018_1;2018_1;2;martes;entreSemana;baja
2018-01-31;31;31;1;2018;1;2018_1;2018_1;3;miércoles;entreSemana;baja
2018-02-01;32;1;2;2018;1;2018_2;2018_1;4;jueves;entreSemana;baja
2018-02-02;33;2;2;2018;1;2018_2;2018_1;5;viernes;visperaFinde;baja
2018-02-03;34;3;2;2018;1;2018_2;2018_1;6;sábado;Finde;baja
2018-02-04;35;4;2;2018;1;2018_2;2018_1;7;domingo;Finde;baja
2018-02-05;36;5;2;2018;1;2018_2;2018_1;1;lunes;entreSemana;baja
2018-02-06;37;6;2;2018;1;2018_2;2018_1;2;martes;entreSemana;baja
2018-02-07;38;7;2;2018;1;2018_2;2018_1;3;miércoles;entreSemana;baja
2018-02-08;39;8;2;2018;1;2018_2;2018_1;4;jueves;entreSemana;baja
2018-02-09;40;9;2;2018;1;2018_2;2018_1;5;viernes;visperaFinde;baja
2018-02-10;41;10;2;2018;1;2018_2;2018_1;6;sábado;Finde;baja
2018-02-11;42;11;2;2018;1;2018_2;2018_1;7;domingo;Finde;baja
2018-02-12;43;12;2;2018;1;2018_2;2018_1;1;lunes;entreSemana;baja
2018-02-13;44;13;2;2018;1;2018_2;2018_1;2;martes;entreSemana;baja
2018-02-14;45;14;2;2018;1;2018_2;2018_1;3;miércoles;entreSemana;baja
2018-02-15;46;15;2;2018;1;2018_2;2018_1;4;jueves;entreSemana;baja
2018-02-16;47;16;2;2018;1;2018_2;2018_1;5;viernes;visperaFinde;baja
2018-02-17;48;17;2;2018;1;2018_2;2018_1;6;sábado;Finde;baja
2018-02-18;49;18;2;2018;1;2018_2;2018_1;7;domingo;Finde;baja
2018-02-19;50;19;2;2018;1;2018_2;2018_1;1;lunes;entreSemana;baja
2018-02-20;51;20;2;2018;1;2018_2;2018_1;2;martes;entreSemana;baja
2018-02-21;52;21;2;2018;1;2018_2;2018_1;3;miércoles;entreSemana;baja
2018-02-22;53;22;2;2018;1;2018_2;2018_1;4;jueves;entreSemana;baja
2018-02-23;54;23;2;2018;1;2018_2;2018_1;5;viernes;visperaFinde;baja
2018-02-24;55;24;2;2018;1;2018_2;2018_1;6;sábado;Finde;baja
2018-02-25;56;25;2;2018;1;2018_2;2018_1;7;domingo;Finde;baja
2018-02-26;57;26;2;2018;1;2018_2;2018_1;1;lunes;entreSemana;baja
2018-02-27;58;27;2;2018;1;2018_2;2018_1;2;martes;entreSemana;baja
2018-02-28;59;28;2;2018;1;2018_2;2018_1;3;miércoles;entreSemana;baja
2018-03-01;60;1;3;2018;1;2018_3;2018_1;4;jueves;entreSemana;baja
2018-03-02;61;2;3;2018;1;2018_3;2018_1;5;viernes;visperaFinde;baja
2018-03-03;62;3;3;2018;1;2018_3;2018_1;6;sábado;Finde;baja
2018-03-04;63;4;3;2018;1;2018_3;2018_1;7;domingo;Finde;baja
2018-03-05;64;5;3;2018;1;2018_3;2018_1;1;lunes;entreSemana;baja
2018-03-06;65;6;3;2018;1;2018_3;2018_1;2;martes;entreSemana;baja
2018-03-07;66;7;3;2018;1;2018_3;2018_1;3;miércoles;entreSemana;baja
2018-03-08;67;8;3;2018;1;2018_3;2018_1;4;jueves;entreSemana;baja
2018-03-09;68;9;3;2018;1;2018_3;2018_1;5;viernes;visperaFinde;baja
2018-03-10;69;10;3;2018;1;2018_3;2018_1;6;sábado;Finde;baja
2018-03-11;70;11;3;2018;1;2018_3;2018_1;7;domingo;Finde;baja
2018-03-12;71;12;3;2018;1;2018_3;2018_1;1;lunes;entreSemana;baja
2018-03-13;72;13;3;2018;1;2018_3;2018_1;2;martes;entreSemana;baja
2018-03-14;73;14;3;2018;1;2018_3;2018_1;3;miércoles;entreSemana;baja
2018-03-15;74;15;3;2018;1;2018_3;2018_1;4;jueves;entreSemana;baja
2018-03-16;75;16;3;2018;1;2018_3;2018_1;5;viernes;visperaFinde;baja
2018-03-17;76;17;3;2018;1;2018_3;2018_1;6;sábado;Finde;baja
2018-03-18;77;18;3;2018;1;2018_3;2018_1;7;domingo;Finde;baja
2018-03-19;78;19;3;2018;1;2018_3;2018_1;1;lunes;entreSemana;baja
2018-03-20;79;20;3;2018;1;2018_3;2018_1;2;martes;entreSemana;baja
2018-03-21;80;21;3;2018;1;2018_3;2018_1;3;miércoles;entreSemana;baja
2018-03-22;81;22;3;2018;1;2018_3;2018_1;4;jueves;entreSemana;baja
2018-03-23;82;23;3;2018;1;2018_3;2018_1;5;viernes;visperaFinde;baja
2018-03-24;83;24;3;2018;1;2018_3;2018_1;6;sábado;Finde;baja
2018-03-25;84;25;3;2018;1;2018_3;2018_1;7;domingo;Finde;baja
2018-03-26;85;26;3;2018;1;2018_3;2018_1;1;lunes;entreSemana;baja
2018-03-27;86;27;3;2018;1;2018_3;2018_1;2;martes;entreSemana;baja
2018-03-28;87;28;3;2018;1;2018_3;2018_1;3;miércoles;entreSemana;alta
2018-03-29;88;29;3;2018;1;2018_3;2018_1;4;jueves;entreSemana;alta
2018-03-30;89;30;3;2018;1;2018_3;2018_1;5;viernes;visperaFinde;alta
2018-03-31;90;31;3;2018;1;2018_3;2018_1;6;sábado;Finde;alta
2018-04-01;91;1;4;2018;2;2018_4;2018_2;7;domingo;Finde;alta
2018-04-02;92;2;4;2018;2;2018_4;2018_2;1;lunes;entreSemana;baja
2018-04-03;93;3;4;2018;2;2018_4;2018_2;2;martes;entreSemana;baja
2018-04-04;94;4;4;2018;2;2018_4;2018_2;3;miércoles;entreSemana;baja
2018-04-05;95;5;4;2018;2;2018_4;2018_2;4;jueves;entreSemana;baja
2018-04-06;96;6;4;2018;2;2018_4;2018_2;5;viernes;visperaFinde;baja
2018-04-07;97;7;4;2018;2;2018_4;2018_2;6;sábado;Finde;baja
2018-04-08;98;8;4;2018;2;2018_4;2018_2;7;domingo;Finde;baja
2018-04-09;99;9;4;2018;2;2018_4;2018_2;1;lunes;entreSemana;baja
2018-04-10;100;10;4;2018;2;2018_4;2018_2;2;martes;entreSemana;baja
2018-04-11;101;11;4;2018;2;2018_4;2018_2;3;miércoles;entreSemana;baja
2018-04-12;102;12;4;2018;2;2018_4;2018_2;4;jueves;entreSemana;baja
