idhotel,fechaocupacion,idcliente,idtipohab,idregimen,idsegmento,id_canal,idpais_cliente,NHab,S1H,S2H,S3H,S4H,S5H,S6H,S7H,S8H,S9H,S10H,S11H,S12H,S13H,S14H,S15H,S16H,S17H,S18H,S19H,S20H,S21H,S22H,S23H,S24H,S25H,S26H,S27H,S28H,S29H,S30H,S31H,S32H,S33H,S34H,S35H,S36H,S37H,S38H,S39H,S40H,S41H,S42H,S43H,S44H,S45H,S46H,S47H,S48H,S49H,S50H,S51H,S52H,PreuHab,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,diaAño
AV_SUITES,2018-03-28,OL_MEDITERRANEO,SUI,PC,VACAC,DESCONOCIDO,ES,170,170,164,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.507701,60.507701,60.641685,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,61.626811,87
BAHIA_TOSSA,2018-03-29,Huespedes,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,50,43,38,34,27,16,9,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.749145,131.15460900000002,136.163229,134.323609,133.601785,140.09448899999998,151.445758,158.140547,158.140547,140.758487,140.758487,140.758487,140.758487,140.758487,140.758487,140.758487,140.758487,140.758487,140.758487,140.758487,140.758487,140.758487,134.496138,134.496138,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,88
PORT_SALOU,2018-03-29,Huespedes,DBL,MP,DESCONOCIDO,DESCONOCIDO,ES,85,75,66,57,51,53,43,31,26,21,18,16,15,13,13,12,12,12,10,11,8,7,7,7,5,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.89385,113.756667,112.792218,112.574243,110.947947,115.162688,117.390798,115.195005,118.199822,121.180512,118.269184,123.123286,124.135748,128.087756,128.087756,129.928403,129.928403,129.928403,128.684992,125.249574,134.439772,133.202596,133.202596,133.202596,126.038181,103.978787,103.978787,76.404545,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,88
PORT_SALOU,2018-03-29,Huespedes,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,59,58,57,59,54,54,51,45,38,35,32,25,19,18,18,18,18,16,15,11,11,8,8,7,3,2,3,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.319414,134.900156,131.19223200000002,130.090693,132.34925900000002,133.07568999999998,131.896185,135.229414,143.96299,141.65176599999995,141.904631,136.922291,133.534593,132.531465,132.531465,132.531465,132.531465,127.689375,128.190485,130.274628,130.274628,128.066251,128.066251,129.831559,151.460606,136.495454,159.063636,159.063636,159.063636,175.622727,175.622727,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,88
AV_SUITES,2018-03-29,OL_MEDITERRANEO,SUI,PC,VACAC,DESCONOCIDO,ES,172,170,164,59,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.645138,60.81914499999999,60.667628,62.476117,62.476117,62.476117,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,45.854546,88
BAHIA_TOSSA,2018-03-31,Huespedes,DBL,MP,DESCONOCIDO,DESCONOCIDO,ES,75,57,32,25,10,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.868848,120.883413,122.911647,122.525091,119.002727,119.392424,118.581818,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,124.318183,90
BAHIA_TOSSA,2018-03-31,Huespedes,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,125,110,91,66,48,33,22,17,15,8,6,6,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.54968,140.29058700000002,141.17228799999995,140.923953,137.037671,146.09650200000004,156.64764499999995,159.32476,162.89412099999996,175.963636,183.372727,183.372727,146.854545,146.854545,146.854545,146.854545,146.854545,146.854545,146.854545,146.854545,146.854545,146.854545,139.068181,139.068181,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,90
PORT_SALOU,2018-03-31,Huespedes,DBL,MP,DESCONOCIDO,DESCONOCIDO,ES,103,82,73,61,50,49,40,24,23,16,12,9,8,8,8,8,8,8,6,7,6,6,5,5,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.181376,114.621951,113.434744,115.703129,117.505999,121.200741,122.26636299999998,133.836742,134.760869,146.55511299999995,150.37424199999995,167.848484,142.1,142.1,142.1,142.1,142.1,142.1,166.436363,155.644795,166.436363,166.436363,172.494545,172.494545,170.884848,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,90
PORT_SALOU,2018-03-31,Huespedes,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,78,75,74,76,67,67,63,59,53,47,41,34,29,26,26,26,26,25,24,24,24,18,18,17,13,11,12,12,12,11,5,4,4,4,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.241049,130.984024,130.882211,130.610706,130.259905,131.43711000000002,133.45707099999998,137.005008,138.078646,138.708568,141.511375,140.80676499999996,140.35808799999998,139.824231,139.824231,139.824231,139.824231,139.883745,140.705038,137.203637,137.203637,128.565455,128.565455,129.32171200000002,134.15615400000002,131.53909099999998,137.594167,137.594167,137.594167,138.653141,172.402365,178.741592,178.741592,178.741592,170.255457,170.255457,153.283186,153.283186,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,136.310915,90
PORT_SALOU,2018-03-31,OL_MEDITERRANEO,DBL,PC,VACAC,DESCONOCIDO,ES,48,48,45,44,38,38,28,27,22,20,18,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.87329,108.659252,106.027726,102.991515,102.226121,102.226121,108.592268,109.106527,103.192367,108.534621,107.043418,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,161.407999,90
