idhotel,fechaocupacion,idcliente,idtipohab,idregimen,idsegmento,id_canal,idpais_cliente,NHab,S1H,S2H,S3H,S4H,S5H,S6H,S7H,S8H,S9H,S10H,S11H,S12H,S13H,S14H,S15H,S16H,S17H,S18H,S19H,S20H,S21H,S22H,S23H,S24H,S25H,S26H,S27H,S28H,S29H,S30H,S31H,S32H,S33H,S34H,S35H,S36H,S37H,S38H,S39H,S40H,S41H,S42H,S43H,S44H,S45H,S46H,S47H,S48H,S49H,S50H,S51H,S52H,PreuHab,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,diaAño
BAHIA_TOSSA,2018-03-31,Huespedes,FAM,PC,DESCONOCIDO,DESCONOCIDO,ES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,278.681818,90
BAHIA_TOSSA,2018-03-30,Huespedes,FAM,PC,DESCONOCIDO,DESCONOCIDO,ES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,290.90909,89
BAHIA_TOSSA,2018-04-01,Huespedes,SUI,PC,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,276.472728,91
PORT_SALOU,2018-04-01,Otros,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.390911,327.390911,327.390911,202.809092,231.15454900000003,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,163.354547,91
MAR_MENUDA,2018-04-05,Otros,DBL,MP,DESCONOCIDO,DESCONOCIDO,CE,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.5,553.5,553.5,553.5,553.5,553.5,553.5,553.5,553.5,553.5,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,85.363636,95
TAURUS_AQUAPARK,2018-04-30,Otros,FAM,MP,DESCONOCIDO,DESCONOCIDO,EAU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,472.59091,120
BAHIA_TOSSA,2018-05-07,TUI_UK_LTD,FAM,TI,DESCONOCIDO,DESCONOCIDO,GB,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,480.454547,127
MAR_MENUDA,2018-05-08,TUI_UK_LTD,DBL,MP,DESCONOCIDO,DESCONOCIDO,GB,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.090912,289.090912,289.090912,289.090912,289.090912,166.818183,166.818183,166.818183,166.818183,166.818183,166.818183,166.818183,166.818183,166.818183,166.818183,166.818183,166.818183,166.818183,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,105.681818,128
MAR_MENUDA,2018-05-08,Huespedes,FAM,MP,DESCONOCIDO,DESCONOCIDO,ES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,334.545456,128
MAR_MENUDA,2018-05-09,Huespedes,FAM,MP,DESCONOCIDO,DESCONOCIDO,ES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,475.709089,129
