date_int,date,temp,weather,rain,rain_total,hotel
20180301,2018-03-01,13,3,1.9,2,PAV
20180302,2018-03-02,13,1,0.2,1,PAV
20180303,2018-03-03,16,1,0.0,0,PAV
20180304,2018-03-04,14,1,0.5,1,PAV
20180305,2018-03-05,14,1,3.3,2,PAV
20180306,2018-03-06,15,1,0.0,0,PAV
20180307,2018-03-07,14,1,0.0,0,PAV
20180308,2018-03-08,13,1,0.0,0,PAV
20180309,2018-03-09,16,1,0.0,0,PAV
20180310,2018-03-10,18,1,0.5,1,PAV
20180311,2018-03-11,16,1,0.0,0,PAV
20180312,2018-03-12,16,1,0.0,0,PAV
20180313,2018-03-13,14,3,0.3,1,PAV
20180314,2018-03-14,15,1,0.0,0,PAV
20180315,2018-03-15,16,1,0.2,1,PAV
20180316,2018-03-16,15,1,0.0,0,PAV
20180317,2018-03-17,12,1,0.0,0,PAV
20180318,2018-03-18,15,1,0.1,1,PAV
20180319,2018-03-19,13,1,0.4,1,PAV
20180320,2018-03-20,13,1,0.6,1,PAV
20180321,2018-03-21,13,1,0.0,0,PAV
20180322,2018-03-22,14,1,0.0,0,PAV
20180323,2018-03-23,17,1,0.0,0,PAV
20180324,2018-03-24,13,3,8.1,2,PAV
20180325,2018-03-25,13,2,0.4,1,PAV
20180326,2018-03-26,17,1,0.3,1,PAV
20180327,2018-03-27,18,1,0.0,0,PAV
20180328,2018-03-28,19,1,0.0,0,PAV
20180329,2018-03-29,15,1,0.0,0,PAV
20180330,2018-03-30,15,1,0.2,1,PAV
20180331,2018-03-31,15,1,0.2,1,PAV
