date_int,date,temp,weather,rain,rain_total,hotel
20180501,2018-05-01,14,1,0.0,0,SAL
20180502,2018-05-02,18,1,0.0,0,SAL
20180503,2018-05-03,20,1,0.2,1,SAL
20180504,2018-05-04,19,1,0.1,1,SAL
20180505,2018-05-05,19,1,0.5,1,SAL
20180506,2018-05-06,20,1,0.1,1,SAL
20180507,2018-05-07,20,1,1.3,2,SAL
20180508,2018-05-08,20,1,1.0,1,SAL
20180509,2018-05-09,21,1,2.0,2,SAL
20180510,2018-05-10,19,1,0.6,1,SAL
20180511,2018-05-11,19,1,0.0,0,SAL
20180512,2018-05-12,18,2,4.2,2,SAL
20180513,2018-05-13,18,1,0.8,1,SAL
20180514,2018-05-14,19,1,0.0,0,SAL
20180515,2018-05-15,20,1,0.0,0,SAL
20180516,2018-05-16,20,1,0.1,1,SAL
20180517,2018-05-17,20,1,0.0,0,SAL
20180518,2018-05-18,19,1,0.2,1,SAL
20180519,2018-05-19,21,1,0.7,1,SAL
20180520,2018-05-20,20,1,2.4,2,SAL
20180521,2018-05-21,20,1,0.6,1,SAL
20180522,2018-05-22,21,1,0.3,1,SAL
20180523,2018-05-23,21,1,0.4,1,SAL
20180524,2018-05-24,22,1,0.0,0,SAL
20180525,2018-05-25,22,1,0.0,0,SAL
20180526,2018-05-26,21,1,0.1,1,SAL
20180527,2018-05-27,21,1,0.6,1,SAL
20180528,2018-05-28,20,3,2.0,2,SAL
20180529,2018-05-29,21,1,3.1,2,SAL
20180530,2018-05-30,20,1,4.5,2,SAL
20180531,2018-05-31,20,1,4.5,2,SAL
