date_int,date,temp,weather,rain,rain_total,hotel
20180601,2018-06-01,22,1,1.3,2,DON
20180602,2018-06-02,22,1,0.0,0,DON
20180603,2018-06-03,20,1,4.0,2,DON
20180604,2018-06-04,22,3,2.1,2,DON
20180605,2018-06-05,22,1,1.1,2,DON
20180606,2018-06-06,20,1,2.4,2,DON
20180607,2018-06-07,22,1,0.9,1,DON
20180608,2018-06-08,23,1,0.0,0,DON
20180609,2018-06-09,23,1,0.3,1,DON
20180610,2018-06-10,24,3,2.9,2,DON
20180611,2018-06-11,24,1,0.5,1,DON
20180612,2018-06-12,24,1,0.0,0,DON
20180613,2018-06-13,26,1,0.0,0,DON
20180614,2018-06-14,25,1,0.0,0,DON
20180615,2018-06-15,24,1,0.0,0,DON
20180616,2018-06-16,24,1,0.0,0,DON
20180617,2018-06-17,25,1,0.0,0,DON
20180618,2018-06-18,26,1,0.0,0,DON
20180619,2018-06-19,26,1,0.0,0,DON
20180620,2018-06-20,26,1,0.0,0,DON
20180621,2018-06-21,27,1,0.0,0,DON
20180622,2018-06-22,28,1,0.0,0,DON
20180623,2018-06-23,25,1,0.1,1,DON
20180624,2018-06-24,25,1,0.0,0,DON
20180625,2018-06-25,25,1,0.0,0,DON
20180626,2018-06-26,26,1,0.0,0,DON
20180627,2018-06-27,26,1,0.2,1,DON
20180628,2018-06-28,27,1,3.0,2,DON
20180629,2018-06-29,26,1,0.3,1,DON
20180630,2018-06-30,26,1,0.3,1,DON
