date_int,date,temp,weather,rain,rain_total,hotel
20191001,2019-10-01,26,3,0.0,0,AVS
20191002,2019-10-02,25,1,4.7,2,AVS
20191003,2019-10-03,24,1,0.0,0,AVS
20191004,2019-10-04,24,1,0.0,0,AVS
20191005,2019-10-05,23,3,1.4,2,AVS
20191006,2019-10-06,26,1,0.6,1,AVS
20191007,2019-10-07,23,1,0.0,0,AVS
20191008,2019-10-08,23,1,0.0,0,AVS
20191009,2019-10-09,23,3,1.1,2,AVS
20191010,2019-10-10,20,2,2.9,2,AVS
20191011,2019-10-11,23,3,1.8,2,AVS
20191012,2019-10-12,23,3,1.4,2,AVS
20191013,2019-10-13,23,3,1.4,2,AVS
20191014,2019-10-14,23,3,6.5,2,AVS
20191015,2019-10-15,21,1,3.2,2,AVS
20191016,2019-10-16,21,1,0.0,0,AVS
20191017,2019-10-17,23,1,0.0,0,AVS
20191018,2019-10-18,22,1,0.0,0,AVS
20191019,2019-10-19,23,1,2.3,2,AVS
20191020,2019-10-20,21,3,9.2,2,AVS
20191021,2019-10-21,17,3,2.0,2,AVS
20191022,2019-10-22,21,4,111.8,3,AVS
20191023,2019-10-23,18,2,5.4,2,AVS
20191024,2019-10-24,20,1,0.1,1,AVS
20191025,2019-10-25,21,1,0.0,0,AVS
20191026,2019-10-26,22,1,0.0,0,AVS
20191027,2019-10-27,21,1,0.0,0,AVS
20191028,2019-10-28,19,1,0.0,0,AVS
20191029,2019-10-29,22,1,0.0,0,AVS
20191030,2019-10-30,23,1,0.0,0,AVS
20191031,2019-10-31,21,3,1.8,2,AVS
