date_int,date,temp,weather,rain,rain_total,hotel
20190601,2019-06-01,24,1,0.0,0,MME
20190602,2019-06-02,24,1,0.0,0,MME
20190603,2019-06-03,25,1,0.0,0,MME
20190604,2019-06-04,24,1,0.0,0,MME
20190605,2019-06-05,24,1,0.0,0,MME
20190606,2019-06-06,21,1,0.0,0,MME
20190607,2019-06-07,24,1,0.0,0,MME
20190608,2019-06-08,23,1,0.0,0,MME
20190609,2019-06-09,23,2,0.0,0,MME
20190610,2019-06-10,24,1,0.0,0,MME
20190611,2019-06-11,16,2,17.5,2,MME
20190612,2019-06-12,20,1,1.1,2,MME
20190613,2019-06-13,22,1,0.0,0,MME
20190614,2019-06-14,25,3,1.5,2,MME
20190615,2019-06-15,22,1,0.0,0,MME
20190616,2019-06-16,25,1,0.0,0,MME
20190617,2019-06-17,25,1,0.0,0,MME
20190618,2019-06-18,25,1,0.0,0,MME
20190619,2019-06-19,25,1,0.0,0,MME
20190620,2019-06-20,27,1,0.0,0,MME
20190621,2019-06-21,25,3,0.5,1,MME
20190622,2019-06-22,23,1,0.0,0,MME
20190623,2019-06-23,26,1,0.0,0,MME
20190624,2019-06-24,27,1,0.0,0,MME
20190625,2019-06-25,26,1,0.0,0,MME
20190626,2019-06-26,30,1,0.0,0,MME
20190627,2019-06-27,32,1,0.0,0,MME
20190628,2019-06-28,32,1,0.0,0,MME
20190629,2019-06-29,32,1,0.0,0,MME
20190630,2019-06-30,31,1,0.0,0,MME
