date_int,date,temp,weather,rain,rain_total,hotel
20190901,2019-09-01,26,3,2.0,2,TAU
20190902,2019-09-02,22,3,11.2,2,TAU
20190903,2019-09-03,26,1,0.7,1,TAU
20190904,2019-09-04,26,1,0.0,0,TAU
20190905,2019-09-05,24,3,7.3,2,TAU
20190906,2019-09-06,22,1,2.3,2,TAU
20190907,2019-09-07,23,3,2.1,2,TAU
20190908,2019-09-08,21,3,2.2,2,TAU
20190909,2019-09-09,23,1,2.5,2,TAU
20190910,2019-09-10,17,4,83.3,3,TAU
20190911,2019-09-11,24,3,14.8,2,TAU
20190912,2019-09-12,27,1,0.0,0,TAU
20190913,2019-09-13,25,1,0.3,1,TAU
20190914,2019-09-14,26,1,4.4,2,TAU
20190915,2019-09-15,25,1,2.1,2,TAU
20190916,2019-09-16,0,3,3.1,2,TAU
20190917,2019-09-17,26,1,0.0,0,TAU
20190918,2019-09-18,26,1,0.5,1,TAU
20190919,2019-09-19,24,2,4.2,2,TAU
20190920,2019-09-20,24,1,0.6,1,TAU
20190921,2019-09-21,23,4,30.6,3,TAU
20190922,2019-09-22,25,1,1.4,2,TAU
20190923,2019-09-23,23,1,0.5,1,TAU
20190924,2019-09-24,26,1,0.0,0,TAU
20190925,2019-09-25,22,2,0.1,1,TAU
20190926,2019-09-26,24,1,0.0,0,TAU
20190927,2019-09-27,25,3,0.7,1,TAU
20190928,2019-09-28,23,1,0.5,1,TAU
20190929,2019-09-29,26,1,0.0,0,TAU
20190930,2019-09-30,24,1,0.0,0,TAU
