date_int,fechaocupacion,temp,weather,rain,rain_total,idhotel
20180101,2018-01-01,15,1,0.0,0,AVS
20180102,2018-01-02,17,1,0.0,0,AVS
20180103,2018-01-03,19,1,0.0,0,AVS
20180104,2018-01-04,18,1,0.0,0,AVS
20180105,2018-01-05,16,1,0.0,0,AVS
20180106,2018-01-06,14,1,3.4,2,AVS
20180107,2018-01-07,13,2,2.3,2,AVS
20180108,2018-01-08,12,1,0.0,0,AVS
20180109,2018-01-09,12,1,0.0,0,AVS
20180110,2018-01-10,13,1,0.0,0,AVS
20180111,2018-01-11,12,1,0.1,1,AVS
20180112,2018-01-12,12,1,0.0,0,AVS
20180113,2018-01-13,13,3,0.1,1,AVS
20180114,2018-01-14,12,1,0.1,1,AVS
20180115,2018-01-15,12,1,0.0,0,AVS
20180116,2018-01-16,17,1,0.0,0,AVS
20180117,2018-01-17,15,1,0.0,0,AVS
20180118,2018-01-18,14,1,0.0,0,AVS
20180119,2018-01-19,14,1,0.0,0,AVS
20180120,2018-01-20,16,1,0.0,0,AVS
20180121,2018-01-21,19,1,0.0,0,AVS
20180122,2018-01-22,18,1,0.0,0,AVS
20180123,2018-01-23,16,1,0.0,0,AVS
20180124,2018-01-24,15,1,0.0,0,AVS
20180125,2018-01-25,13,2,0.0,0,AVS
20180126,2018-01-26,12,3,12.0,2,AVS
20180127,2018-01-27,12,1,0.0,0,AVS
20180128,2018-01-28,14,1,0.1,1,AVS
20180129,2018-01-29,14,1,0.0,0,AVS
20180130,2018-01-30,15,1,0.0,0,AVS
20181001,2018-10-01,25,1,0.0,0,AVS
20181002,2018-10-02,24,1,0.0,0,AVS
20181003,2018-10-03,24,1,0.0,0,AVS
20181004,2018-10-04,23,1,0.0,0,AVS
20181005,2018-10-05,22,1,0.0,0,AVS
20181006,2018-10-06,22,1,0.1,1,AVS
20181007,2018-10-07,21,1,0.9,1,AVS
20181008,2018-10-08,18,1,1.8,2,AVS
20181009,2018-10-09,21,1,5.0,2,AVS
20181010,2018-10-10,22,1,0.2,1,AVS
20181011,2018-10-11,23,1,0.1,1,AVS
20181012,2018-10-12,23,1,0.0,0,AVS
20181013,2018-10-13,23,1,0.3,1,AVS
20181014,2018-10-14,22,2,18.0,2,AVS
20181015,2018-10-15,21,1,0.6,1,AVS
20181016,2018-10-16,21,1,0.3,1,AVS
20181017,2018-10-17,22,1,2.9,2,AVS
20181018,2018-10-18,20,1,5.8,2,AVS
20181019,2018-10-19,22,1,10.6,2,AVS
20181020,2018-10-20,22,1,1.5,2,AVS
20181021,2018-10-21,23,1,0.0,0,AVS
